Date,Close,Volume,Open,High,Low,Log_Returns,EMA_10,RSI,MACD,Signal_Line
2019-12-13,68.7875,133731240,67.865,68.825,67.7325,-0.016973074621799637,70.73430882630392,12.887684432399936,-2.053806843036014,-1.6913196140865434
2019-12-12,67.865,137748160,66.945,68.14,66.8303,-0.013501604635948754,70.21261631243047,12.395018824210894,-2.1626703253511437,-1.7855897563394636
2019-12-11,67.6925,78893560,67.2025,67.775,67.125,-0.0025450468341574163,69.75441334653402,4.210526315789494,-2.2370770955370745,-1.875887224178986
2019-12-10,67.12,90529520,67.15,67.5175,66.465,-0.008493328756820044,69.27542910170965,4.876299749014038,-2.3155487576994034,-1.9638195308830695
2019-12-09,66.73,128730600,67.5,67.7,66.2275,-0.005827435243435538,68.81262381048971,4.978038067349985,-2.3817524957730427,-2.047406123861064
2019-12-06,67.6775,106189960,66.87,67.75,66.825,0.014099149165929161,68.60623766312794,17.522966995576652,-2.3308949971609394,-2.104103898521039
2019-12-05,66.395,74645360,65.9475,66.4725,65.6825,-0.019132023639153607,68.20419445165014,14.646904969485519,-2.3667941649473505,-2.1566419518063014
2019-12-04,65.435,67241560,65.2675,65.8275,65.17,-0.014564468934846793,67.70070455135011,15.455381784728544,-2.4445294768603816,-2.2142194568171174
2019-12-03,64.8625,117509080,64.5775,64.8825,64.0725,-0.008787638813586032,67.18466736019555,14.553855038983457,-2.5232448411585153,-2.2760245336853973
2019-12-02,66.04,94774200,66.8175,67.0625,65.8625,0.017990974358069428,66.97654602197818,28.03335250143762,-2.4622298719771862,-2.313265601343755
2019-11-29,66.8125,46617440,66.65,67.0,66.475,0.0116295697333367,66.9467194725276,32.877447036739085,-2.324742589889496,-2.3155609990529036
2019-11-27,66.96,65544480,66.395,66.995,66.3275,0.0022052373959556963,66.94913411388622,34.175531914893554,-2.1787654590243335,-2.2882018910471897
2019-11-26,66.0725,105339520,66.735,66.79,65.625,-0.013342802199318295,66.78974609317963,30.088932806324053,-2.1103643968476433,-2.2526343922072805
2019-11-25,66.5925,84118080,65.6775,66.61,65.63,0.007839334610553111,66.75388316714697,33.944298976434126,-1.9912426028705,-2.2003560343399244
2019-11-22,65.445,65325040,65.6475,65.795,65.21,-0.017381863348771957,66.51590440948388,34.041537359751686,-1.9667598001491342,-2.1536367875017666
2019-11-21,65.5025,121395120,65.9225,66.0012,65.295,0.0008782146080777983,66.33164906230499,37.704918032786864,-1.9205780054227262,-2.107025031085959
